Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,y',y'',y'''
673,100,99.99241861425473,39.85757300548414,800.0606556845036,1934.2178052899349,[-0.14374475],-14.373385367725206,0.41363524495348974,-6.754031348868733,[3097.01748387],[3032.95114086],[3148.95825526],[3055.50156176],[2912.24896628],[2079.05523743],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.14089145],[0.0683036],[0.33796633]
683,100,97.45695763346072,39.85757300548414,820.8752042197234,1964.6987846640814,[6.4430314],627.9182383816517,0.41781224207357276,-6.449308121118217,[3127.49846324],[3061.72560102],[3176.0990862],[3080.53272736],[2934.06405786],[2092.56931946],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13859947],[0.06784942],[0.33538792]
693,100,95.13477085043996,39.85757300548414,840.9123108707213,1994.310779346155,[13.08271278],1244.6208821630744,0.4216556013132611,-6.197357528145456,[3157.11045792],[3089.67944846],[3202.75901111],[3105.12275517],[2955.49144339],[2105.68363334],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13644316],[0.06739903],[0.33287237]
703,100,92.99276431308294,39.85757300548414,860.2819863560608,2023.189561938511,[19.7826198],1839.6405005038696,0.4252107674635218,-5.984697500676878,[3185.98924052],[3116.94242369],[3229.00745663],[3129.33643163],[2976.58777931],[2118.44199972],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13440381],[0.06695284],[0.3304145]
713,100,91.00495269927774,39.85757300548414,879.0730353364045,2051.444585589099,[26.55114132],2416.2853602303994,0.42851415120431696,-5.8022846988481165,[3214.24426417],[3143.61846416],[3254.90228566],[3153.22771509],[2997.4076307],[2130.88556616],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13246651],[0.06651109],[0.32800854]
723,100,89.1506296336853,39.85757300548414,897.3576555624486,2079.1654577722056,[33.3916567],2976.887219318295,0.4315951153420728,-5.643451956173285,[3241.96513635],[3169.79276793],[3280.4921647],[3176.84197069],[3017.98559363],[2143.04235222],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13061918],[0.06607386],[0.32565131]
733,100,87.41298057333998,39.85757300548414,915.1958836694689,2106.4263802841665,[40.30930768],3523.5567293298845,0.4344779823475268,-5.503515741301113,[3269.22605886],[3195.53586654],[3305.81836373],[3200.21763116],[3038.35848493],[2154.94082682],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12885187],[0.06564117],[0.32333881]
743,100,85.77820747407269,39.85757300548414,932.6378150788566,2133.2894206552323,[47.30779464],4057.977823759012,0.43718297482223495,-5.378939077380904,[3296.08909923],[3220.90670497],[3330.91614343],[3223.38751403],[3058.55575289],[2166.60423223],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12715628],[0.065213],[0.32106784]
753,100,84.23484689351447,39.85757300548414,949.7257126985942,2159.8069661557233,[54.39161208],4581.66911587507,0.43972712727611346,-5.267107368340317,[3322.60664473],[3245.95503093],[3355.8158373],[3246.37983367],[3078.60674575],[2178.05500492],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12552547],[0.06478928],[0.31883499]
763,100,82.77327165843803,39.85757300548414,966.4955655023293,2186.0235935907126,[61.56101791],5095.606858643774,0.44212494702071614,-5.165800796308694,[3348.82327217],[3270.72315288],[3380.54370492],[3269.21899351],[3098.52664015],[2189.30686632],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12395351],[0.06436996],[0.31663881]
773,100,81.38532091556179,39.85757300548414,982.9782459542173,2211.977513655125,[68.8191457],5600.868258085821,0.44438889630931205,-5.073434036870787,[3374.77719223],[3295.24727525],[3405.12261141],[3291.92624127],[3118.33731965],[2200.37685971],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12243536],[0.06395493],[0.31447668]
783,100,80.06401090715167,39.85757300548414,999.2005033669135,2237.701700335707,[76.16688263],6098.226121939502,0.4465298047621854,-4.988655099656234,[3400.50137891],[3319.55874229],[3429.57257321],[3314.52015421],[3138.05300415],[2211.27727648],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12096664],[0.06354411],[0.31234701]
793,100,78.80334391194063,39.85757300548414,1015.1853465684982,2263.224783736426,[83.60755212],6588.554683402926,0.44855701204035864,-4.910488232437772,[3426.02446232],[3343.68465474],[3453.91120018],[3337.017069],[3157.69321186],[2222.02283378],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.11954355],[0.06313741],[0.31024737]
803,100,77.59809856500159,39.85757300548414,1030.9530965244774,2288.57176288019,[91.1414588],7072.403903158357,0.45047881532323586,-4.838021454928411,[3451.37144146],[3367.64869578],[3478.15405637],[3359.4314155],[3177.26824798],[2232.62283962],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.11816277],[0.06273475],[0.30817659]
813,100,76.44371821594306,39.85757300548414,1046.5215699478526,2313.7645799167994,[98.76961236],7550.316415847324,0.45230252854224456,-4.770538727845739,[3476.5642585],[3391.47164344],[3502.31495641],[3381.77599397],[3196.78949262],[2243.08688961],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.11682138],[0.06233602],[0.30613331]
823,100,75.33618733224804,39.85757300548414,1061.9066723828694,2338.82258650397,[106.49155477],8022.667719477786,0.45403472606709705,-4.707392641762749,[3501.62226508],[3415.17181475],[3526.40621079],[3404.06220431],[3216.26365775],[2253.42176391],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.11551679],[0.06194115],[0.30411674]
833,100,74.27199609723424,39.85757300548414,1077.1219868019552,2363.762925491617,[114.31105648],8490.110340402558,0.4556810563301033,-4.648204946045513,[3526.56260407],[3438.76552085],[3550.43882988],[3426.3002367],[3235.70798931],[2263.63969179],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.11424668],[0.06155006],[0.30212465]
843,100,73.24799034540499,39.85757300548414,1092.1801352194857,2388.600845492922,[122.22711854],8952.890798623825,0.45724681764235864,-4.5924863883218014,[3551.40052407],[3462.26705572],[3574.42269475],[3448.49924807],[3255.12643416],[2273.74545583],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.113009],[0.06116267],[0.30015661]
853,100,72.2613527300907,39.85757300548414,1107.092477203057,2413.349961845217,[130.23909906],9411.253476234915,0.4587368159222908,-4.539837880091718,[3576.14964042],[3485.68930928],[3598.3667009],[3470.66744019],[3274.52359576],[2283.74409088],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.11180189],[0.0607789],[0.29821205]
863,100,71.30957975722481,39.85757300548414,1121.8689027808316,2438.0224744267775,[138.34812171],9865.546419308235,0.4601552752480688,-4.489977799982354,[3600.82215301],[3509.04382184],[3622.27887994],[3492.81223661],[3293.9080595],[2293.64250928],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.11062367],[0.06039868],[0.29628985]
873,100,70.39041023618432,39.85757300548414,1136.5184509022204,2462.6293505112976,[146.55442948],10316.026412979016,0.4615060933413522,-4.442637872462161,[3625.42902909],[3532.3409574],[3646.1665029],[3514.94035441],[3313.2857594],[2303.44606984],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.10947284],[0.06002195],[0.29438926]
